,out_zone_percent,in_zone_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,Cluster,last_name,first_name
84,50.0,50.0,51.5,93.4,2426.0,-6.9,-19.2,29.8,84.7,2575.0,6.1,-35.5,18.7,82.1,2067.0,-9.1,-43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,93.4,2426,-6.9,-19.2,14.1,29.8,84.7,2575.0,6.1,-35.5,18.7,82.1,2067.0,-9.1,-43.7,5,Givens, Mychal
85,51.4,48.6,62.5,93.0,2442.0,14.8,-17.5,32.4,83.4,2583.0,-3.6,-38.2,5.1,85.0,2124.0,16.7,-31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,93.0,2442,14.8,-17.5,20.7,32.4,83.4,2583.0,-3.6,-38.2,5.1,85.0,2124.0,16.7,-31.6,1,Heaney, Andrew
86,53.7,46.3,40.9,92.5,2259.0,-3.7,-15.1,37.1,86.0,2584.0,4.6,-37.2,10.4,86.5,1744.0,-13.3,-26.9,0.0,0.0,0.0,0.0,0.0,0.0,11.6,92.7,2304.0,-11.2,-17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,92.5,2269,-5.4,-15.6,17.7,37.1,86.0,2584.0,4.6,-37.2,10.4,86.5,1744.0,-13.3,-26.9,2,Hutchison, Drew
87,51.7,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,80.3,1946.0,17.6,-45.1,2.8,76.0,2343.0,-16.2,-46.7,16.7,48.7,91.2,2130.0,18.9,-29.4,36.0,84.7,2323.0,0.3,-35.6,0.0,0.0,0.0,0.0,0.0,0.0,84.7,88.4,2212,11.0,-32.1,12.5,2.8,76.0,2343.0,-16.2,-46.7,12.5,80.3,1946.0,17.6,-45.1,3,Loup, Aaron
88,44.9,55.1,0.0,0.0,0.0,0.0,0.0,2.6,89.6,2160.0,2.2,-25.9,28.9,85.1,2322.0,15.2,-35.8,20.0,78.0,2371.0,-14.9,-54.6,17.7,48.5,94.5,2260.0,15.4,-18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,94.5,2260,15.4,-18.3,19.8,22.6,79.3,2347.0,-12.9,-51.3,28.9,85.1,2322.0,15.2,-35.8,1,Matz, Steven
89,47.3,52.7,27.4,93.5,2292.0,-4.9,-16.3,25.4,87.7,2382.0,3.9,-31.1,4.0,82.7,1575.0,-12.0,-31.0,20.8,76.2,2555.0,8.7,-63.0,17.8,22.3,93.0,2232.0,-13.3,-19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7,93.3,2265,-8.7,-17.7,17.0,46.3,82.5,2460.0,6.0,-45.5,4.0,82.7,1575.0,-12.0,-31.0,4,Mikolas, Miles
90,56.6,43.4,4.1,89.2,1974.0,16.4,-27.6,0.0,0.0,0.0,0.0,0.0,20.3,81.3,1783.0,17.1,-39.8,32.7,79.5,1887.0,-13.4,-45.3,13.6,42.8,88.9,1989.0,18.5,-34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,88.9,1988,18.3,-34.2,18.5,32.7,79.5,1887.0,-13.4,-45.3,20.3,81.3,1783.0,17.1,-39.8,1,Milner, Hoby
91,53.7,46.3,24.9,94.4,2310.0,0.5,-21.9,37.7,88.6,2605.0,2.3,-35.9,34.7,90.0,1690.0,-15.2,-30.1,2.3,76.7,2859.0,10.9,-67.2,22.2,0.4,95.7,2376.0,-6.4,-20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,94.4,2311,0.3,-21.9,9.1,40.0,87.9,2619.0,2.8,-37.7,34.7,90.0,1690.0,-15.2,-30.1,4,Richards, Garrett
92,57.4,42.6,31.6,92.6,2224.0,-7.2,-15.1,36.8,86.0,2305.0,4.7,-32.9,8.9,85.8,1241.0,-11.1,-32.2,0.8,81.5,2260.0,4.4,-45.7,6.3,16.7,92.9,2182.0,-16.2,-19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,92.7,2210,-10.3,-16.8,19.1,42.8,85.2,2319.0,5.8,-34.0,8.9,85.8,1241.0,-11.1,-32.2,4,Tepera, Ryan
93,60.8,39.2,6.4,87.9,2185.0,3.5,-21.6,8.0,77.0,2316.0,-9.8,-45.3,26.3,79.2,1551.0,14.3,-38.7,0.0,0.0,0.0,0.0,0.0,0.0,44.0,87.2,1940.0,15.4,-30.1,15.3,85.2,2167.0,-1.3,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,65.8,86.8,2017,10.3,-29.2,14.4,8.0,77.0,2316.0,-9.8,-45.3,26.3,79.2,1551.0,14.3,-38.7,1,Keuchel, Dallas
94,49.5,50.5,1.3,91.0,2181.0,12.7,-21.7,0.0,0.0,0.0,0.0,0.0,26.1,82.6,1702.0,16.5,-40.7,30.4,81.1,2336.0,-6.6,-43.4,7.5,42.3,90.4,2188.0,18.3,-29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,90.4,2188,18.1,-29.2,18.8,30.4,81.1,2336.0,-6.6,-43.4,26.1,82.6,1702.0,16.5,-40.7,1,Mantiply, Joe
95,47.8,52.2,0.2,93.6,2223.0,8.5,-22.7,56.9,80.9,2691.0,-14.1,-40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,94.3,2166.0,17.0,-23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1,94.3,2167,17.0,-23.2,18.7,56.9,80.9,2691.0,-14.1,-40.4,0.0,0.0,0.0,0.0,0.0,7,Rogers, Taylor
96,50.9,49.1,9.4,92.4,2425.0,-4.2,-18.8,26.3,84.7,2672.0,13.4,-38.3,0.0,0.0,0.0,0.0,0.0,0.1,81.3,2531.0,16.2,-44.0,16.6,40.2,92.0,2266.0,-9.0,-29.0,12.1,89.4,2576.0,2.6,-30.9,11.9,87.0,1713.0,-12.1,-34.4,12.5,61.7,91.5,2351,-6.0,-27.8,9.7,26.4,84.7,2672.0,13.4,-38.3,11.9,87.0,1713.0,-12.1,-34.4,0,Stroman, Marcus
97,47.1,52.9,49.4,92.8,2298.0,3.2,-12.3,0.0,0.0,0.0,0.0,0.0,1.1,82.7,1101.0,3.8,-28.3,24.7,73.0,2455.0,-10.5,-68.3,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,92.8,2298,3.2,-12.3,19.8,49.5,77.1,2412.0,-12.4,-54.1,1.1,82.7,1101.0,3.8,-28.3,1,Thielbar, Caleb
98,51.7,48.3,50.6,94.9,2270.0,11.5,-13.6,30.7,86.5,2353.0,-3.1,-34.5,13.3,87.0,1563.0,10.5,-28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,91.1,2255.0,0.3,-21.9,0.0,0.0,0.0,0.0,0.0,0.0,55.9,94.6,2269,10.4,-14.4,19.8,30.7,86.5,2353.0,-3.1,-34.5,13.3,87.0,1563.0,10.5,-28.1,1,Kikuchi, Yusei
99,52.3,47.7,32.1,94.8,2654.0,-6.9,-13.0,35.6,81.3,2719.0,13.1,-43.3,32.2,90.0,2016.0,-16.4,-31.8,0.2,79.6,2706.0,16.6,-52.2,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,94.8,2654,-6.9,-13.0,19.1,35.8,81.3,2719.0,13.1,-43.4,32.2,90.0,2016.0,-16.4,-31.8,5,Adam, Jason
100,51.0,49.0,48.8,95.0,2265.0,-10.5,-13.1,14.5,84.4,2198.0,1.1,-35.1,1.9,84.5,1490.0,-8.5,-31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,85.2,1571.0,-15.2,-33.1,16.3,48.8,95.0,2265,-10.5,-13.1,20.5,14.5,84.4,2198.0,1.1,-35.1,36.7,85.2,1567.0,-14.8,-33.0,0,Gausman, Kevin
101,49.2,50.8,50.5,95.9,2015.0,-11.4,-17.2,36.1,84.9,2467.0,10.0,-32.5,9.3,88.7,1455.0,-14.2,-26.0,4.1,77.8,2597.0,14.5,-56.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,95.9,2015,-11.4,-17.2,17.3,40.2,84.2,2480.0,10.5,-34.9,9.3,88.7,1455.0,-14.2,-26.0,5,Gray, Jon
102,52.4,47.6,39.4,93.4,2282.0,6.7,-13.4,37.2,87.2,2190.0,-1.5,-28.3,0.7,86.9,1759.0,10.5,-23.1,1.9,79.7,2106.0,-2.5,-43.7,3.7,20.8,93.3,2190.0,15.4,-18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.2,93.4,2250,9.7,-15.2,19.6,39.1,86.8,2186.0,-1.5,-29.0,0.7,86.9,1759.0,10.5,-23.1,1,Ray, Robbie
