last_name, first_name,player_id,year,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,out_zone_percent,in_zone_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,
Keller, Mitch,656605,2022,.318,87.9,7.8,7.1,65.2,14.6,26,38.4,49.9,50.1,33.2,95.5,2422,-7.3,-15.2,6.3,87.1,2452,4.9,-36.2,6.6,91.2,1632,-14.8,-28.1,15.4,78.7,2576,11.2,-60,19,22.2,94.4,2369,-14.8,-19.7,,,,,,,,,,,,55.5,95.1,2400,-10.3,-17,17.4,38,82,2605,12.8,-48.4,6.6,91.2,1632,-14.8,-28.1,
Kopech, Michael,656629,2022,.308,89.9,18.3,8.8,65,17.5,25.7,40.4,51.4,48.6,61.8,94.9,2529,-9.9,-11.9,26.8,84.3,2389,4.7,-40.2,1.2,85.2,1630,-13.1,-27.4,10.2,78.4,2399,8,-51.9,11.1,,,,,,,,,,,,,,,,,61.8,94.9,2529,-9.9,-11.9,21.2,37,82.7,2391,5.6,-43.4,1.2,85.2,1630,-13.1,-27.4,
Lange, Alex,656638,2022,.283,86.1,4.9,5.2,59,21.1,35.4,67.1,62.4,37.6,3.3,95.7,2247,-9.5,-15.7,,,,,,19.6,89.7,1701,-16.5,-31.4,48.8,85.5,2186,0.7,-42.9,5.9,28.3,96.2,2222,-15.8,-20.4,,,,,,,,,,,,31.6,96.2,2225,-15.1,-19.9,18.3,48.8,85.5,2186,0.7,-42.9,19.6,89.7,1701,-16.5,-31.4,
Logue, Zach,656657,2022,.370,89.5,19.4,12.4,71.9,14.6,26.5,38.7,52.3,47.7,49.2,90.1,2011,10.1,-20,,,,,,13.6,82,1873,15.2,-40.6,15.8,77.5,2425,-10.4,-42.4,11.4,,,,,,21.4,85.9,2237,1.5,-29.1,,,,,,,70.6,88.8,2080,7.4,-22.8,14.7,15.8,77.5,2425,-10.4,-42.4,13.6,82,1873,15.2,-40.6,
Martin, Brett,656685,2022,.304,89.5,6.4,5.2,66.6,10.9,37.8,43.7,55.7,44.3,10.3,93.5,2149,5.4,-17.2,18.1,86.8,2207,-2.6,-33.2,,,,,,36.5,82.8,2250,-1.9,-47.9,8.3,35.1,93.5,2200,14.4,-18.8,,,,,,,,,,,,45.3,93.5,2189,12.4,-18.5,18.4,54.7,84.1,2236,-2.2,-43,,,,,,
Megill, Trevor,656730,2022,.340,92.2,9.5,8.5,70.1,16.9,30.1,44.8,49.9,50.1,54.9,98.1,2445,-4.2,-11.8,13.7,88.5,2747,6.3,-39.2,,,,,,30.9,83.4,2759,7.6,-56.2,18.2,0.5,98.6,2534,-10.7,-10.8,,,,,,,,,,,,55.4,98.1,2446,-4.3,-11.7,17.3,44.6,85,2755,7.2,-51,,,,,,
Megill, Tylor,656731,2022,.321,89.2,13.5,10.4,71.7,20.9,25.4,47.9,47.8,52.2,56.9,95.7,2172,-7.2,-13.4,20.1,85.2,2297,4.2,-38.7,18.3,89.1,1548,-15.3,-27.4,2.8,80.4,2346,5.9,-52.6,11.8,,,,,,1.9,87.4,2220,1.7,-32.5,,,,,,,58.8,95.4,2174,-6.9,-14,17.9,22.9,84.6,2303,4.4,-40.4,18.3,89.1,1548,-15.3,-27.4,
Montgomery, Jordan,656756,2022,.310,88.5,9.8,7.1,69,20.5,33.2,41,51.3,48.7,17.1,93,2305,8.7,-16.8,,,,,,22.2,82.3,1678,10.9,-28.5,22.2,80.2,2263,-2.9,-47.7,6.2,34.5,93,2211,16.9,-21.9,3.9,88.3,2386,0,-25.8,,,,,,,55.5,92.7,2252,13.2,-20.6,18.2,22.2,80.2,2263,-2.9,-47.7,22.2,82.3,1678,10.9,-28.5,
Nelson, Nick,656793,2022,.297,87.3,15.4,3.6,70.1,21.3,24.6,48,52.3,47.7,42.3,96.2,1961,-6.5,-13.3,24.2,89.9,2261,2.2,-30.1,29.7,87.9,1909,-16,-28.3,3.7,81.9,2231,10.5,-44.2,11.2,,,,,,,,,,,,,,,,,42.3,96.2,1961,-6.5,-13.3,17.8,28,88.8,2257,3.3,-32,29.7,87.9,1909,-16,-28.3,
Peterson, David,656849,2022,.308,89.7,8.1,7.7,66,19.2,27.7,51,55.8,44.2,37.9,93.7,2083,9,-17.5,29.1,84.4,2325,-3.9,-37.7,16.3,85.8,1633,16.2,-31.2,5,78.5,2304,-7.3,-52.5,11.1,11.7,93.2,2093,16.7,-22.2,,,,,,,,,,,,49.6,93.6,2085,10.8,-18.6,17.2,34.1,83.5,2322,-4.4,-39.8,16.3,85.8,1633,16.2,-31.2,
Rasmussen, Drew,656876,2022,.290,88.9,10.1,6.6,72.3,17,34,42.2,50.7,49.3,35.4,95.5,2396,-2.3,-13.5,0.5,85.4,2514,1,-43.1,,,,,,4.4,79.6,2692,4,-59.5,16.4,3.8,94.9,2403,-12,-14.2,32.8,90.3,2612,1.4,-29.3,,,,,,,72.1,93.1,2495,-1.1,-20.7,11.8,27.9,83.8,2506,10.8,-45,,,,,,
Scott, Tanner,656945,2022,.316,86.1,7.6,5.4,65.5,25.4,29.1,55.2,54.2,45.8,37.9,96.9,2560,5.3,-12.6,62.1,89.2,2735,-5.2,-35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,96.9,2560,5.3,-12.6,17.5,62.1,89.2,2735,-5.2,-35.1,,,,,,
