last_name, first_name,player_id,year,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,out_zone_percent,in_zone_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,
Manning, Matt,666159,2022,.310,89.1,14.8,6.2,68.1,17.1,27.6,37.9,45.5,54.5,51.4,93.2,2055,-2.9,-15,22.9,83.7,2176,8.2,-28.9,7.6,86.2,1372,-11.7,-29.5,10.5,79.7,2282,8.9,-54,14.3,7.6,92.8,1931,-9.8,-17.3,,,,,,,,,,,,59,93.2,2039,-3.8,-15.3,16.8,33.4,82.5,2209,8.5,-36.8,7.6,86.2,1372,-11.7,-29.5,
Luzardo, Jesus,666200,2022,.287,89,13.2,6.6,66.1,22.7,28,50.4,53,47,28.8,96.3,2207,13.5,-14.7,30.1,83.7,2325,-1.1,-39.6,22.6,87.2,1900,15.6,-27.7,,,,,,,18.4,95.7,2141,17.1,-18.2,,,,,,,,,,,,47.3,96.1,2181,14.9,-16.1,20.6,30.1,83.7,2325,-1.1,-39.6,22.6,87.2,1900,15.6,-27.7,
Manoah, Alek,666201,2022,.284,87.5,16.9,5.4,68.4,17.5,30.9,41,50.3,49.7,35.9,93.9,2369,-5.5,-14.3,27.1,81.5,2216,14.5,-41,11.2,86.5,1980,-14.5,-27.2,,,,,,,25.8,93.3,2194,-14.7,-21.1,,,,,,,,,,,,61.7,93.6,2295,-9.4,-17.2,18,27.1,81.5,2216,14.5,-41,11.2,86.5,1980,-14.5,-27.2,
Brash, Matt,666374,2022,.328,88.8,6.7,4.8,57.7,19,28.1,55.5,52.2,47.8,35.9,96.9,2233,-11.5,-15.3,37.9,86.8,2885,15.3,-36.6,0.9,85.9,2060,-17.9,-30.7,25.3,84.5,2972,13.8,-46.1,16,,,,,,,,,,,,,,,,,35.9,96.9,2233,-11.5,-15.3,18.2,63.2,85.9,2920,14.7,-40.4,0.9,85.9,2060,-17.9,-30.7,
Castillo, Max,666721,2022,.335,90.7,11.5,10.3,68.6,16.8,28.8,37.8,55.2,44.8,48.1,93,2193,-13,-17.5,18.8,83.4,2377,3.2,-36,33.1,87.5,1615,-13.6,-30.5,,,,,,,,,,,,,,,,,,,,,,,48.1,93,2193,-13,-17.5,19.5,18.8,83.4,2377,3.2,-36,33.1,87.5,1615,-13.6,-30.5,
Doval, Camilo,666808,2022,.266,85.9,-0.8,4.6,67.1,21.3,28.9,50.6,52.5,47.5,,,,,,43.6,87.7,2580,6.4,-34.8,,,,,,,,,,,,25.9,98.4,2472,-11.3,-25.6,30.5,99.4,2531,-5,-14.7,,,,,,,56.4,99,2504,-7.9,-19.7,13,43.6,87.7,2580,6.4,-34.8,,,,,,
Nance, Tommy,667297,2022,.306,88.4,9.3,4.4,62.1,14.7,24.7,68.1,49.8,50.2,13.2,93.7,2341,-9,-15.4,18.1,86.9,2650,2.7,-39.4,,,,,,39.7,85.3,2886,11.5,-49.4,16.5,29,94.2,2325,-15.9,-23.8,,,,,,,,,,,,42.2,94,2330,-13.7,-21.2,17.8,57.8,85.8,2812,8.8,-46.3,,,,,,
Jackson, Zach,667427,2022,.295,89.4,21.6,10,64.3,21.9,22.3,58.9,56.7,43.3,54.1,94.5,2121,-4.9,-11.2,44.6,85.2,2461,0.6,-40.1,1,88.9,1239,-9.4,-26.9,,,,,,,,,,,,0.2,94.2,2204,1.7,-10.1,,,,,,,54.3,94.5,2122,-4.9,-11.2,20.3,44.6,85.2,2461,0.6,-40.1,1,88.9,1239,-9.4,-26.9,
King, John,667463,2022,.317,90.7,0.2,6.2,69,14.8,30.4,30.4,50.5,49.5,,,,,,5.9,81,2688,-8.5,-48,24.7,80.7,1638,15.7,-42,,,,,,,52.3,92.4,2066,15.6,-31.4,8.1,86.7,2449,-0.5,-32.8,,,,,,,60.5,91.6,2117,13.4,-31.6,14.3,14.8,78.9,2660,-13.3,-50.8,24.7,80.7,1638,15.7,-42,
Plesac, Zach,668676,2022,.351,89.5,13,9.6,72.5,15.8,31.3,36,50.9,49.1,42.7,91.9,2151,-7.4,-13.5,24.3,85.4,2125,1.3,-29.9,22.4,85.7,1628,-11.4,-24.9,10.4,79.3,2182,1.9,-52.8,9.8,0.2,89.4,2080,-13.6,-19,,,,,,,,,,,,42.9,91.9,2150,-7.4,-13.6,20.4,34.7,83.6,2142,1.5,-36.8,22.4,85.7,1628,-11.4,-24.9,
Gallen, Zac,668678,2022,.278,87.8,10.8,7.8,64.8,14.3,31.9,38.9,52.8,47.2,48.1,94.1,2420,-3.4,-13.5,0.9,86.7,2513,7.5,-35.6,14.2,86.2,1539,-11.9,-32.8,21.9,81.6,2515,6.7,-53.5,14,0,94.7,2216,-14.4,-16.3,14.8,89.9,2424,5.3,-26.7,,,,,,,62.9,93.1,2421,-1.3,-16.6,16,22.8,81.8,2515,6.8,-52.8,14.2,86.2,1539,-11.9,-32.8,
Greene, Hunter,668881,2022,.310,89.7,20.7,9.4,70.6,24.6,28.3,49.2,51.5,48.5,53.8,98.9,2367,-11.7,-12.1,40.9,88.1,2363,4.6,-32,5.3,90.1,1988,-11.3,-22,,,,,,,,,,,,,,,,,,,,,,,53.8,98.9,2367,-11.7,-12.1,20,40.9,88.1,2363,4.6,-32,5.3,90.1,1988,-11.3,-22,
Ashcraft, Graham,668933,2022,.311,86.9,3.8,4.8,70.1,11.7,28.2,35.9,49.5,50.5,,,,,,27.1,85.8,2707,11,-40.1,0.7,89.8,1776,-13.6,-28.1,,,,,,,21.5,97.2,2185,-9.8,-22.4,50.7,97.3,2383,0.6,-19.3,,,,,,,72.2,97.2,2326,-2.5,-20.2,10.5,27.1,85.8,2707,11,-40.1,0.7,89.8,1776,-13.6,-28.1,
McCarty, Kirk,668948,2022,.352,89.5,17,10.9,70.5,21.6,28.7,29.5,47.4,52.6,38.3,92.5,2311,7.1,-13.6,3.5,82.7,2461,-6,-37.4,7.7,84.7,1610,12.5,-25,10.1,77.1,2714,-9.1,-54.5,13.3,0.2,90.9,2252,14,-10.4,40.2,88.5,2416,-2.9,-25.8,,,,,,,78.7,90.5,2365,2,-19.8,14.8,13.6,78.5,2649,-8.3,-50.1,7.7,84.7,1610,12.5,-25,
Gore, MacKenzie,669022,2022,.349,90.8,13.7,9.7,69.5,17.1,23.9,43.4,50.6,49.4,60.9,94.7,2237,5.2,-13,15.7,87.4,1957,-2.1,-30.6,5.3,84.8,2083,13.1,-24.9,18,80.8,2293,-0.6,-52.4,11.1,,,,,,,,,,,,,,,,,60.9,94.7,2237,5.2,-13,18.5,33.8,83.9,2136,-1.3,-42.2,5.3,84.8,2083,13.1,-24.9,
Wilson, Bryse,669060,2022,.358,90.9,11.5,7.7,67.6,10.4,27,37.1,48.7,51.3,24,92.7,2034,-8.5,-17.4,15.9,83.4,2160,5.2,-36.2,14.8,85.1,1467,-12.9,-33.5,12.8,77.2,2307,16.6,-49.6,17.2,32.5,92.1,1958,-16.2,-24.3,,,,,,,,,,,,56.5,92.3,1990,-12.9,-21.4,17.6,28.7,80.6,2226,10.3,-42.2,14.8,85.1,1467,-12.9,-33.5,
Zimmermann, Bruce,669145,2022,.384,91.1,14,13.2,67.5,14.2,31.5,29.7,46.4,53.6,29,90.6,2335,7.9,-16.6,18.6,85.1,2433,1.1,-34.9,29.3,84.7,1938,16.7,-28.3,12.9,81,2404,-1.5,-48.9,7.9,10.1,90.5,2312,14.4,-23.3,,,,,,,,,,,,39.1,90.6,2329,9.6,-18.4,18.4,31.6,83.4,2421,0,-40.6,29.3,84.7,1938,16.7,-28.3,
Heasley, Jonathan,669169,2022,.353,90.2,14.9,9.4,69,14.3,24.4,32.9,51.4,48.6,45.8,93.4,2322,-8.2,-12.5,12.5,85.6,2277,3.3,-34.1,21.3,84.9,1871,-12.9,-27.7,17,78.5,2615,6.1,-60.3,16.8,3.3,93.1,2332,-12.1,-13.7,,,,,,,,,,,,49.1,93.3,2322,-8.5,-12.6,20.8,29.6,81.5,2473,4.9,-49.2,21.3,84.9,1871,-12.9,-27.7,
Burnes, Corbin,669203,2022,.273,87.2,10,5.7,63.1,20.1,33.5,56.5,57.1,42.9,0.5,96.1,2578,-5.1,-13.8,9.2,88.2,2801,7.4,-35.1,9.8,90.3,2045,-14.4,-26.4,18.4,81.6,2761,9.8,-47.5,12,6.7,96.3,2495,-11.6,-17.3,55.4,95,2626,4.4,-18.7,,,,,,,62.6,95.2,2611,2.6,-18.5,13,27.6,83.8,2774,9,-43.4,9.8,90.3,2045,-14.4,-26.4,
Akin, Keegan,669211,2022,.296,87.8,7.9,6.5,69.1,21.1,32.4,38.6,44,56,52,93.5,2256,10.7,-13.6,29.5,85.3,2163,-5.1,-36.2,18.1,84.1,1967,16,-30,0.4,75.1,2385,-10.4,-61.9,16.2,,,,,,,,,,,,,,,,,52,93.5,2256,10.7,-13.6,21,29.9,85.2,2166,-5.2,-36.6,18.1,84.1,1967,16,-30,
Morgan, Eli,669212,2022,.266,87.8,19.5,8.9,71.3,20.4,31.2,41.4,47.9,52.1,55.2,92.1,2268,-10.9,-15.1,15.8,85.7,2274,1.4,-32.3,27.8,75.9,2098,-15.6,-44,1.1,80.5,2223,12.3,-47.4,13.5,,,,,,0.1,89.3,2285,-5.5,-17.7,,,,,,,55.3,92.1,2268,-10.8,-15.1,20.5,16.9,85.4,2271,2.1,-33.3,27.8,75.9,2098,-15.6,-44,
Kuhnel, Joel,669270,2022,.302,90.1,7.6,7.2,68.5,18.1,30.9,41,50.3,49.7,24.8,96.2,2231,-7,-17.1,30,86.8,2365,4.4,-35.4,15.4,90.2,1483,-11.6,-28.5,,,,,,,29.7,96,2234,-15.9,-21.4,,,,,,,,,,,,54.5,96.1,2233,-11.8,-19.5,16.4,30,86.8,2365,4.4,-35.4,15.4,90.2,1483,-11.6,-28.5,
Lee, Dylan,669276,2022,.251,88.6,18.1,5.3,74.7,25.7,39.1,54.1,50.3,49.7,45.5,92.1,2260,7,-12.7,47.7,83.8,2080,-3.2,-34.4,6.8,86.3,1525,11,-26.4,,,,,,,,,,,,,,,,,,,,,,,45.5,92.1,2260,7,-12.7,20.9,47.7,83.8,2080,-3.2,-34.4,6.8,86.3,1525,11,-26.4,
Gilbert, Logan,669302,2022,.314,91,14.6,7.1,73.1,19.8,25.8,37.7,48.1,51.9,53.9,96.1,2135,-6.4,-11.9,24.2,86.9,2289,6.1,-31.6,8,86.2,1752,-15.3,-28.3,12.5,80.8,2117,4.2,-50.1,9.6,1.4,94.7,1973,-13.7,-18.1,,,,,,,,,,,,55.3,96.1,2131,-6.6,-12,19,36.7,84.8,2231,5.5,-37.9,8,86.2,1752,-15.3,-28.3,
Wells, Tyler,669330,2022,.302,88.3,19.1,7.9,70.4,18.7,30.4,40.3,49.4,50.6,41.6,93.5,2459,-5.8,-11.5,27.2,87.5,2537,4.9,-28.1,18.4,86.7,2098,-14.9,-23.1,7,76.3,2672,9.4,-58.2,14.6,,,,,,,,,,,,,,,,,41.6,93.5,2459,-5.8,-11.5,20.8,40,84.3,2568,7.2,-35.5,18.4,86.7,2098,-14.9,-23.1,
Skubal, Tarik,669373,2022,.284,89.2,11.8,5.2,68.7,19.4,30.3,45.2,47.1,52.9,26.8,94.2,2155,8.3,-15.1,30.9,89.4,2117,-1,-25.8,15.4,83.6,1598,13.3,-32.5,6.1,77,2224,-6.1,-54.7,10.7,20.7,94.9,2054,15.1,-19.4,,,,,,,,,,,,47.5,94.5,2112,11.3,-17,18.4,37.1,87.3,2134,-1.8,-30.5,15.4,83.6,1598,13.3,-32.5,
Coleman, Dylan,669395,2022,.302,86.4,12.5,6.9,64.5,24.3,26.9,45.7,53.4,46.6,56.3,97.5,2447,-4.8,-15.2,42.5,83.3,2468,13.9,-36.2,,,,,,,,,,,,1.2,98,2518,-12.7,-14.2,,,,,,,,,,,,57.5,97.6,2448,-4.9,-15.2,14.6,42.5,83.3,2468,13.9,-36.2,,,,,,
Lambert, Jimmy,669424,2022,.273,86.6,18.1,4.5,68.4,19.7,30.4,38.2,52.8,47.2,44.6,94.3,2220,-7.7,-12.7,33,84.4,2583,5.6,-39.9,14.2,85.4,1576,-14.6,-31.2,8.2,76.8,2597,5.9,-65.4,19.5,,,,,,,,,,,,,,,,,44.6,94.3,2220,-7.7,-12.7,19.8,41.2,82.9,2586,5.6,-45,14.2,85.4,1576,-14.6,-31.2,
Rogers, Trevor,669432,2022,.338,88.4,12.1,7.5,69.6,21.6,28.6,35.5,50.3,49.7,52.7,94.6,2423,12.6,-16.6,17.8,80.7,2040,-7.6,-36.3,29.3,85.7,1372,14.6,-35.6,,,,,,,0.2,94.9,2318,19,-25.8,,,,,,,,,,,,52.9,94.6,2423,12.6,-16.7,19.1,17.8,80.7,2040,-7.6,-36.3,29.3,85.7,1372,14.6,-35.6,
Bieber, Shane,669456,2022,.291,89.9,9.5,6.8,67.3,15.9,31.8,59.8,49.4,50.6,34.3,91.3,2208,-8.6,-15.2,28.5,85,2516,2.8,-35.2,2.4,86.4,1557,-12.9,-30.3,17.7,82,2204,10.2,-51.7,15.2,,,,,,17,86.9,2502,2,-27.3,,,,,,,51.3,89.8,2305,-5.1,-19.2,16.2,46.3,83.8,2396,5.6,-41.5,2.4,86.4,1557,-12.9,-30.3,
Nelson, Kyle,669459,2022,.311,88.5,13.7,7.7,66.9,17.7,31.7,41,53.1,46.9,35.8,91.9,2145,3.9,-17.4,64.1,84.3,2571,-6.2,-38.2,,,,,,0.2,77,2415,-12.9,-50.1,13.2,,,,,,,,,,,,,,,,,35.8,91.9,2145,3.9,-17.4,15.6,64.2,84.3,2571,-6.2,-38.3,,,,,,
Liberatore, Matthew,669461,2022,.357,91.2,16.4,8.8,66.8,15.6,25,35.2,54.2,45.8,34.2,93.7,2116,6.9,-14.7,10.9,86,2573,-4,-34.9,11.2,85.9,1527,12.8,-28.2,23.2,74.3,2737,-11.6,-67.2,20.5,20.5,92.8,2039,13.1,-18.7,,,,,,,,,,,,54.6,93.4,2087,9.2,-16.2,18.1,34.2,78.1,2684,-9.1,-56.8,11.2,85.9,1527,12.8,-28.2,
Pallante, Andre,669467,2022,.302,89.4,-3.3,3.2,65.9,11,23.1,37.9,48.9,51.1,54.4,95.2,2221,-3.6,-21,19.6,86.9,2337,5.4,-37.3,0.1,83.1,1574,-11.5,-31.9,16.8,76.5,2836,9,-65.1,19.9,9.2,94.8,2108,-12.7,-17.9,,,,,,,,,,,,63.5,95.2,2205,-4.9,-20.6,11.2,36.4,82.1,2566,7.1,-50.1,0.1,83.1,1574,-11.5,-31.9,
Long, Sam,669674,2022,.320,88.6,15.5,6.8,65.8,21.3,24.5,37.6,47,53,42.5,94.7,2205,7.5,-12.4,,,,,,29.2,84.3,1946,11,-23.8,26.8,77,2520,-2.1,-62,15.9,1.5,93,2182,12.2,-12.5,,,,,,,,,,,,44,94.6,2204,7.7,-12.4,19.9,26.8,77,2520,-2.1,-62,29.2,84.3,1946,11,-23.8,
Snead, Kirby,669912,2022,.325,87.8,11.4,6.6,61.6,14.8,26.6,31.4,50.6,49.4,13.6,93.5,2497,14.2,-18.5,37.4,82,2788,-9.2,-41.2,7.1,87.6,2222,18.6,-35.9,,,,,,,41.9,93.3,2402,18.7,-25.3,,,,,,,,,,,,55.5,93.4,2425,17.6,-23.7,19.7,37.4,82,2788,-9.2,-41.2,7.1,87.6,2222,18.6,-35.9,
Alexander, Jason,669920,2022,.357,90.1,4.7,8.2,60.8,10.9,28.5,28.2,54.7,45.3,4.4,93.1,2191,-13.9,-20.3,23.2,81.2,2512,11.2,-39.6,15.7,81.5,1806,-17,-38.3,,,,,,,56.7,92.4,2062,-16.4,-30.9,,,,,,,,,,,,61.1,92.4,2072,-16.2,-30.1,16.6,23.2,81.2,2512,11.2,-39.6,15.7,81.5,1806,-17,-38.3,
Kirby, George,669923,2022,.284,89.3,11.3,8.9,71.9,18.6,29,28.9,44.9,55.1,45.4,95.3,2179,-8.8,-15.1,8.9,85.5,2188,10.1,-38.1,8,86,1471,-15.3,-33.5,13.3,80.8,2177,9.9,-53.6,15.3,12.2,94.7,2236,-16.2,-20.6,12.2,88.3,2149,3.8,-30.2,,,,,,,69.8,94,2184,-7.9,-18.7,15.8,22.2,82.7,2181,10,-47.4,8,86,1471,-15.3,-33.5,
White, Mitch,669952,2022,.315,87.9,14.7,5.6,70.2,12.7,29.7,31.6,53.5,46.5,44.8,93.7,2277,-3.9,-15.2,,,,,,3.8,87.2,1548,-13.7,-30.4,17.1,80.2,2407,5.2,-57.2,15.4,6.9,94.2,2181,-13.1,-16.8,,,,,,,,,,,,51.7,93.7,2264,-5.2,-15.4,17,44.4,83.4,2435,7.7,-45.5,3.8,87.2,1548,-13.7,-30.4,
Festa, Matt,670036,2022,.300,87.2,17.3,7.4,66.4,22,33.1,46.7,50.5,49.5,43.3,92.6,2332,-4.8,-17.6,56.5,82.9,2567,15.6,-37.1,,,,,,,,,,,,0.2,92.5,2027,-13.1,-23,,,,,,,,,,,,43.5,92.6,2330,-4.8,-17.6,15.3,56.5,82.9,2567,15.6,-37.1,,,,,,
Oller, Adam,670124,2022,.366,90.2,19.2,10,74.7,14.5,25.3,38.7,52.9,47.1,33.3,93.3,2209,-11.1,-14.2,9,84.3,1769,4.8,-43.2,12.5,86.5,1647,-14.5,-29.4,10.6,80.5,2056,5,-49.5,9.3,9.8,93.6,2116,-15.1,-17.1,24.8,89.5,2180,-1.3,-24.2,,,,,,,67.9,92,2185,-8.1,-18.3,17,19.6,82.2,1925,4.9,-46.6,12.5,86.5,1647,-14.5,-29.4,
Schreiber, John,670167,2022,.251,87.2,2.5,5,66.3,25.7,28,47.7,52.3,47.7,29.2,94.4,2238,-10.3,-21.5,37.7,82.1,2614,13,-36.6,7.5,88.5,1649,-15.6,-37.6,,,,,,,25.6,93.4,2184,-15.5,-34.3,,,,,,,,,,,,54.8,93.9,2212,-12.7,-27.5,14.8,37.7,82.1,2614,13,-36.6,7.5,88.5,1649,-15.6,-37.6,
Winckowski, Josh,670174,2022,.338,89.5,5.3,9.9,65.2,11.9,23.3,33.6,49.2,50.8,12.9,93.7,2201,-2.8,-16.2,28.6,84.8,2331,5.6,-41,9.8,89.9,1598,-15.6,-31.5,,,,,,,38.4,94,2031,-14.6,-21.9,10.3,88.6,2140,3.9,-29.4,,,,,,,61.6,93,2085,-9.1,-21.9,15.3,28.6,84.8,2331,5.6,-41,9.8,89.9,1598,-15.6,-31.5,
Bednar, David,670280,2022,.280,90.5,15.3,7.3,70.9,25.4,29,52.5,49.9,50.1,53.6,96.4,2298,-10.2,-12.4,,,,,,,,,,,29.5,77.1,2436,8.3,-56.7,13.6,0.1,95.2,2256,-16.7,-15.7,,,,,,16.9,89.8,1562,-4.5,-28.8,7.3,53.7,96.4,2298,-10.2,-12.4,20,29.5,77.1,2436,8.3,-56.7,16.9,89.8,1562,-4.5,-28.8,
Oviedo, Johan,670912,2022,.278,87.3,10.6,6.2,67.7,15.5,28.2,47.4,49.5,50.5,43.5,96,2275,-8.7,-19.5,40.3,85.7,2585,5.8,-35.6,5.5,88.8,1747,-15.4,-28.7,10.7,78.4,2461,10.8,-49.7,12.2,,,,,,,,,,,,,,,,,43.5,96,2275,-8.7,-19.5,13.5,51,84.2,2559,6.9,-38.6,5.5,88.8,1747,-15.4,-28.7,
Richards, Trevor,670950,2022,.331,89.4,17,11,65,20.6,32.9,52.1,62.7,37.3,44,93.4,2222,-7.4,-11.4,,,,,,37.6,84.1,2505,-16.2,-32.6,18.4,85.1,2116,2,-35.7,4.3,,,,,,,,,,,,,,,,,44,93.4,2222,-7.4,-11.4,21.5,18.4,85.1,2116,2,-35.7,37.6,84.1,2505,-16.2,-32.6,
Ramirez, Yohan,670990,2022,.334,87.8,8.7,7.3,60.7,17.4,24.4,40,49.5,50.5,11.9,93.8,2235,-9.2,-19,32.3,82.7,2375,15.3,-34.9,,,,,,,,,,,,55.8,95.7,2234,-17.8,-24.4,,,,,,,,,,,,67.7,95.4,2234,-16.3,-23.5,18.2,32.3,82.7,2375,15.3,-34.9,,,,,,
Foley, Jason,671345,2022,.294,90.8,3.1,4.5,69.4,11,28.1,32.8,46,54,9,96.1,2185,-13,-16.7,23.5,85.5,2225,6.5,-35.8,6.8,89.5,1600,-14.8,-31.6,,,,,,,60.7,96.3,2036,-17.2,-23.8,,,,,,,,,,,,69.7,96.3,2055,-16.7,-22.9,18.3,23.5,85.5,2225,6.5,-35.8,6.8,89.5,1600,-14.8,-31.6,
Detmers, Reid,672282,2022,.312,89.3,16.7,8,68,20,29.2,37.5,50.7,49.3,44.1,93.2,2102,10.1,-14.7,25.5,85.9,2146,-3.1,-37.9,11.3,84.2,1435,13.5,-29.6,18.2,73.1,2476,-12.2,-67,19.5,0.9,93.7,2127,15.5,-17.3,,,,,,,,,,,,45,93.2,2103,10.2,-14.8,19.9,43.7,80.6,2283,-6.9,-50,11.3,84.2,1435,13.5,-29.6,
Perez, Cionel,672335,2022,.296,89.1,5.1,6.4,66.7,17.9,27.7,50.8,48.9,51.1,44.7,97,2194,6.2,-12.7,39.4,83.9,2614,-12.2,-44.7,,,,,,,,,,,,15.9,96.5,2259,15.1,-20.4,,,,,,,,,,,,60.6,96.8,2211,8.6,-14.7,17.7,39.4,83.9,2614,-12.2,-44.7,,,,,,
Hernandez, Carlos,672578,2022,.351,88.7,14.5,8,71.6,17.9,26.3,37.2,53.3,46.7,49.8,96.8,2365,-8.2,-12.1,17.5,85.8,2029,3.1,-34.9,,,,,,22.2,82.1,2282,3.1,-45.1,6.2,0.3,94.1,2301,-15.5,-14.3,,,,,,10.2,85,1183,-9.7,-28.5,13.9,50,96.8,2365,-8.2,-12.1,19.2,39.7,83.7,2172,3.1,-40.6,10.2,85,1183,-9.7,-28.5,
Contreras, Roansy,672710,2022,.325,90.1,17.7,11,64.9,14.2,32.5,50.5,53.6,46.4,48.6,95.6,2389,-7.4,-12.3,34.2,83.8,2488,4.3,-40.3,2.9,89.7,2080,-14.5,-22.6,14.4,78.9,2727,8.9,-56.7,15.6,,,,,,,,,,,,,,,,,48.6,95.6,2389,-7.4,-12.3,19.3,48.6,82.4,2558,5.6,-45.1,2.9,89.7,2080,-14.5,-22.6,
Adon, Joan,672851,2022,.371,89.3,7.5,10,64.5,12.8,23.5,27.9,49.5,50.5,65.5,95,2186,-10.7,-15.4,0.7,86.2,2061,2.4,-34.1,6.8,87.4,1886,-16.1,-28.5,23.2,79.7,2263,7.8,-53.5,13.1,3.8,94.9,2144,-15.3,-17,,,,,,,,,,,,69.4,95,2184,-10.9,-15.5,18.6,23.8,79.9,2257,7.6,-52.9,6.8,87.4,1886,-16.1,-28.5,
Henry, Tommy,674072,2022,.335,89.3,14.9,9,71.5,19.3,25.8,36,48.4,51.6,55.7,91.6,2190,7.1,-17.6,20.8,85.7,2197,1.4,-31.4,9.2,84.8,1442,14.2,-34.2,14.2,80.6,2393,-6.8,-50.4,11.1,0.1,91.3,2212,13.1,-16.9,,,,,,,,,,,,55.8,91.6,2190,7.1,-17.6,16.7,35,83.7,2277,-1.9,-39.1,9.2,84.8,1442,14.2,-34.2,
Strider, Spencer,675911,2022,.242,88,14.1,6.1,68.3,26.3,30.9,54.7,48.9,51.1,67,98.2,2343,-5.1,-10.7,28.2,86.3,2388,5.2,-35.6,4.8,88.9,2126,-14.8,-25,,,,,,,,,,,,,,,,,,,,,,,67,98.2,2343,-5.1,-10.7,18.5,28.2,86.3,2388,5.2,-35.6,4.8,88.9,2126,-14.8,-25,
Karinchak, James,675916,2022,.267,91,26.6,5.3,56.6,22.2,24.9,57.1,55.8,44.2,59.7,95.2,2349,-1.9,-9.5,,,,,,,,,,,40.3,82.9,2398,-1.7,-48.3,9,,,,,,,,,,,,,,,,,59.7,95.2,2349,-1.9,-9.5,21,40.3,82.9,2398,-1.7,-48.3,,,,,,
Howard, Spencer,675921,2022,.358,91.4,13.8,10.7,67.7,10.8,24.6,39.2,46.4,53.6,50.3,94.4,2144,-7.6,-14.4,,,,,,3.5,79.5,1471,-12.7,-33.7,11,75,1938,6.2,-66.1,18,,,,,,35.3,84.8,2162,5.2,-37.7,,,,,,,85.5,90.4,2151,-2.3,-24,13.3,11,75,1938,6.2,-66.1,3.5,79.5,1471,-12.7,-33.7,
Snider, Collin,676092,2022,.371,89.6,6.9,7.1,61.9,11.6,28,38.2,54.5,45.5,0.2,94.1,2385,-8.4,-21.2,49.4,86.3,2676,6.5,-38.3,1.9,89.5,2259,-13.7,-33.3,,,,,,,48.5,96,2428,-14.6,-26.6,,,,,,,,,,,,48.7,96,2428,-14.6,-26.6,15.2,49.4,86.3,2676,6.5,-38.3,1.9,89.5,2259,-13.7,-33.3,
Abbott, Cory,676265,2022,.325,90.3,23.8,12.1,72,17.5,28.3,45,54,46,50.9,91.3,2253,-11.5,-15.8,26.9,86.6,2133,-10.2,-30.6,,,,,,22.2,84.4,2291,0.9,-43.9,6.5,,,,,,,,,,,,,,,,,50.9,91.3,2253,-11.5,-15.8,20.8,49.1,85.6,2204,-5.2,-36.6,,,,,,
Whitlock, Garrett,676477,2022,.278,88.8,15.3,8,70.5,22.7,28.7,48.7,46,54,2.9,95.1,2123,-10.7,-14.3,18,83.2,1928,1.6,-40.9,19.8,84.6,2046,-18,-33.3,,,,,,,59.3,95.3,2152,-15.3,-17.2,,,,,,,,,,,,62.2,95.3,2150,-15.1,-17.1,20.2,18,83.2,1928,1.6,-40.9,19.8,84.6,2046,-18,-33.3,
Fleming, Josh,676596,2022,.323,90.4,-3.7,7.9,68,14.2,33.1,37.5,54.7,45.3,0.2,91.3,1779,7.4,-10.9,,,,,,19,82.2,1691,15,-41.8,10.9,79.5,1846,-12.5,-48,13.6,54.7,91.2,1761,17.5,-30.3,15.3,84.3,1897,-0.8,-32.7,,,,,,,70.1,89.7,1790,13.5,-30.8,15.4,10.9,79.5,1846,-12.5,-48,19,82.2,1691,15,-41.8,
Sears, JP,676664,2022,.327,90.5,17.3,9,65.1,13.2,26.6,36.6,49.5,50.5,56.6,93.2,2152,12.1,-17.9,26.3,79.2,2495,-7,-47.2,17.1,82.7,1880,18.1,-36.8,,,,,,,,,,,,,,,,,,,,,,,56.6,93.2,2152,12.1,-17.9,18.4,26.3,79.2,2495,-7,-47.2,17.1,82.7,1880,18.1,-36.8,
Vest, Will,676684,2022,.308,87.9,5.6,6.6,67.2,15.3,28.2,41.4,49,51,56,95.1,2080,-9.3,-14.8,33,86.4,2390,9,-38.5,10.7,86.8,1573,-15.5,-32.6,,,,,,,0.3,95.3,1875,-13.9,-22,,,,,,,,,,,,56.3,95.1,2079,-9.3,-14.8,18.2,33,86.4,2390,9,-38.5,10.7,86.8,1573,-15.5,-32.6,
